,text_lower
2614,"b'@nicolasouth don\xe2\x80\x99t worry, if you clear the cache and cookies of your browser and try again it should go through for\xe2\x80\xa6 https://t.co/evorw6goww'"
2615,"b'@nicolasouth hi nicola, i apologise your payments weren\xe2\x80\x99t working! i know we\xe2\x80\x99ve had some intermittent problems with\xe2\x80\xa6 https://t.co/29prmoskq8'"
2616,"b""@cabooth please don't worry, if you clear the cache and cookies of your browser then pop this through again and it\xe2\x80\xa6 https://t.co/dfrqvukyxh"""
2617,"b""@cabooth hi cathy, i'm so sorry this has happened! we\xe2\x80\x99ve been made aware of a problem with customers making payment\xe2\x80\xa6 https://t.co/ol1qwih9ua"""
2618,"b""@lucyvh_x hi lucy, i'm really sorry that happened. if you dm me details of why you were calling i'll see if i can f\xe2\x80\xa6 https://t.co/lybexqfxrt"""
2619,"b""@kimz1 hi there, we don't deal with barclays partner finance. if you head over to this page for more information:\xe2\x80\xa6 https://t.co/3dvqsi4hfp"""
2620,b'@rishi_bhopal we are not able to confirm that here for security reasons and i am sorry for the hold times you have\xe2\x80\xa6 https://t.co/ip5squ1bit'
2621,"b'@alexg017 hello alex, if it won;t let you do it online through the website the other option is to ring the team on\xe2\x80\xa6 https://t.co/p32eaja4ck'"
2622,"b'@forster_p don\xe2\x80\x99t worry, if you try clearing your cache and cookies, then popping through the payment again, this sh\xe2\x80\xa6 https://t.co/sbsltyehlt'"
2623,"b""@forster_p hi peter, sorry you've had some trouble making your payment! we are aware of some issues making payments\xe2\x80\xa6 https://t.co/qunjbwvcv8"""
2624,b'@tasbir52239692 please check here for update tasbir: https://t.co/iwvlwd93as.\nif you think you could be financially\xe2\x80\xa6 https://t.co/e3tqkfh1hb'
2625,b'we need to put our clocks forward this sunday 29 march and some of our systems will be down from 0:00 gmt to 3.00 b\xe2\x80\xa6 https://t.co/eqqg3ddowl'
2626,"b""@minawillment hi mina, i'm so sorry you're having problems right now. if you check this link\xe2\x80\xa6 https://t.co/onskm8zdtp"""
2627,"b""@keelyanna_ hi keels, i'd recommend allowing up to 5 working days to receive a response. if you don't hear by then\xe2\x80\xa6 https://t.co/rn7fhnxvyi"""
2628,"b""@ericarens3 @hsbc_uk @halifaxbank @tescobankhelp hi eric, we are all still her working as quickly as we're physical\xe2\x80\xa6 https://t.co/mr5x3y7idn"""
2629,"b""@at0ne_ @amexuk i'm really sorry and can assure you that it is not intentional in any way. we're working our hardes\xe2\x80\xa6 https://t.co/xpndndyj3u"""
2630,"b""@tedee_de hi dee, are you able to access your banks online banking at all? if so you're able to send a payment over\xe2\x80\xa6 https://t.co/iwo7vk7gwu"""
2631,"b'@rath0x hi rath, you can find out more about base rates and how they affect your account on this link: https://t.co/7mvkpspwyv thanks nikki'"
2632,"b""@griffange022 you can ange but it would need to be done by one of our advisors on the phone i'm afraid as we're not\xe2\x80\xa6 https://t.co/m4eaodrisd"""
2633,"b""@hurnie hey craig, if you come over to dm i'll see what i can do to help. thanks nikki https://t.co/mpqb4etryv"""
2634,"b""@bratcht hi there, apologies about the wait. if you can come over to advise more about what you need to do and i'll\xe2\x80\xa6 https://t.co/ea94grg3ws"""
2635,"b'@iamash_lfc hi ashley, so sorry you were holding. did you manage to get sorted? if not dm me. thanks nikki https://t.co/mpqb4etryv'"
2636,"b'@lexstubbs hi alexandra, so sorry you were holding so long. i hope you managed to get sorted. if not pop over to dm\xe2\x80\xa6 https://t.co/2jh1okp5cx'"
2637,"b""@tomgoalie hi tom, so sorry you're having this issue. if you'd like to come over to dm to let me know what you were\xe2\x80\xa6 https://t.co/hdpsi8mycv"""
2638,"b'@bethjawn hi beth, due to the corona virus we are experiencing high call volumes as well as the impact on our own c\xe2\x80\xa6 https://t.co/qsjscd9lwe'"
2639,"b'@nrth_lts_lashes apologies elizabeth, have you got this sorted? if not please dm me so i can help you out. also, i\xe2\x80\xa6 https://t.co/4gw4vyabrh'"
2640,"b'stay aware of suspicious emails, texts, calls and websites advertising fake coronavirus tests - fraudsters are pret\xe2\x80\xa6 https://t.co/atgk786z4n'"
2641,b'@silestanix thanks so much for your lovely message and apologies for your long wait. did you manage to finish that\xe2\x80\xa6 https://t.co/rfqptbfegb'
2642,b'@notmewhome we won\xe2\x80\x99t be charging you late payment or cash advance fees between 19 march and 17 june 2020 \xe2\x80\x93 we\xe2\x80\x99ll ta\xe2\x80\xa6 https://t.co/qtbejavv1q'
2643,"b'@stephiesstar89 hi stephanie, due to the current situation we are working as hard as we can to get through the mess\xe2\x80\xa6 https://t.co/bvvqcxhkag'"
2644,"b""@adkent hi tony, i'd like to understand more around what's happening as we don't want you to be stuck anywhere! \n\np\xe2\x80\xa6 https://t.co/ajuechwdsw"""
2645,"b""@iamash_lfc i'm unable access your accounts here i'm afraid so we would be unable to make a note on your account. w\xe2\x80\xa6 https://t.co/jizjudmuq1"""
2646,"b""@1995fletch that's not great to hear toby. did those transactions get refunded a few days after at all? that's what\xe2\x80\xa6 https://t.co/38afqr1ebf"""
2647,"b""@iamash_lfc i'm really sorry to hear about your circumstances, ashely. due to the ongoing coronavirus outbreak and\xe2\x80\xa6 https://t.co/toot9g9u9p"""
2648,b'@gatelab so sorry for the delay in replying claire. did you manage to get sorted? thanks nikki'
2649,"b""@iamash_lfc hello ashley, the team are exceptionally busy and we are only asking customers to call if it's essentia\xe2\x80\xa6 https://t.co/otjlqjrugs"""
2650,b'@valentinaiannec if this is in the hands of the executive office they will do all they can to help you valentina. thanks nikki'
2651,"b""@josage14 hi  jo, i'm so very sorry you've not had a reply. if you are still not sorted please dm me. thanks nikki https://t.co/mpqb4etryv"""
2652,"b""@kingsleyironing hi there, so i can help further would you let me know what it is you're wanting to discuss with us\xe2\x80\xa6 https://t.co/wo00voz9g0"""
2653,"b""@rokincow hi lee-ann, we really appreciate your patience. estimates can very difficult when they're higher so this\xe2\x80\xa6 https://t.co/mdvnjvvbfe"""
2654,"b'@dj_jimmyk although we won\xe2\x80\x99t be charging you late payment or cash advance fees between 19 march and 17 june 2020, w\xe2\x80\xa6 https://t.co/f0dpbveybc'"
2655,"b""@mullan_martin hey there martin, we aren't able to arrange call backs unfortunately, can you pop over to dm and let\xe2\x80\xa6 https://t.co/kmrkkdwjlr"""
2656,"b""@dj_jimmyk hi jimmy, apologies for the delay in getting back to you - we're getting a lot of messages at the moment\xe2\x80\xa6 https://t.co/zofvkkp65c"""
2657,"b""@angiestirlo i understand, it's a really hard time for people at the moment especially when you're self employed. w\xe2\x80\xa6 https://t.co/bu8occnmay"""
2658,"b'@racork sorry to hear that, can i ask if you can log into your account online? lisa'"
2659,"b""@gregobecks hey greg, really sorry for the late reply! i'm not aware of any issues with the service, have you tried\xe2\x80\xa6 https://t.co/piojkmswd4"""
2660,"b""@angiestirlo @experian_uk hi there, i'm sorry for the long wait, we're receiving more calls and messages and having\xe2\x80\xa6 https://t.co/uld5yloxsy"""
2661,"b""@mulvoman hi there, i'm sorry for the wait, we're a busier than usual at the moment. are you still able to log into\xe2\x80\xa6 https://t.co/of8y5pyhzo"""
2662,"b'@kay_jade9 hello there, i can certainly understand waiting for so long is so frustrating;  did you manage to speak\xe2\x80\xa6 https://t.co/dngn7vjzul'"
2663,"b""@johngriffiths1 hello john, i'm sorry to hear you've had issues trying to connect to us about the transaction; did\xe2\x80\xa6 https://t.co/te6j1ivxl0"""
2664,"b""@rosannapalmer hi rosanna, i'm really sorry about the wait to speak with us. can you dm the reason for your call an\xe2\x80\xa6 https://t.co/iheqbzjjdl"""
2665,"b'@tariiroaudreyy hello drey, we are facing very high levels of calls at the moment; did you manage to speak to someone at all? ramona'"
2666,"b'@michaelcsavage hi, michael. we have fewer colleagues than usual answering the phones right now because of the coro\xe2\x80\xa6 https://t.co/s2azpbwwmo'"
2667,"b'@york360 hi there, interest rates are unaffected by this and will continue to accrue and be charged. this is specif\xe2\x80\xa6 https://t.co/q5xqnwulak'"
2668,"b'@shannonsymes hi, shan. we have fewer colleagues than usual answering the phones right now because of the coronavir\xe2\x80\xa6 https://t.co/4dx9fvhgfi'"
2669,"b'@rishi_bhopal hello rishi, sorry for the late reply.  we are not able to confirm account specific information here,\xe2\x80\xa6 https://t.co/385sjuobrd'"
2670,"b""@kee_mill sorry for the delay in my reply. i've responded there now. -kev"""
2671,"b'@chefwayner hi, apologies for the delay getting though, we\xe2\x80\x99ve been very busy trying to help as many customers as we\xe2\x80\xa6 https://t.co/msp7qrhbke'"
2672,"b""@stuinaus hi stuart, i'd like to check your options. could you dm your answers to the following questions. how did\xe2\x80\xa6 https://t.co/yq8qwae4ab"""
2673,"b""@itsonlyandy won alternative, i must need another coffee. i'm sorry you don't like contactless mobile. it'll defini\xe2\x80\xa6 https://t.co/v8oghf4nxj"""
2674,"b""@pineappletree50 hi wayne, i wouldn't want you feeling like that all. we've set up a number of different things to\xe2\x80\xa6 https://t.co/xmjmwu2rfx"""
2675,"b""@itsonlyandy hi andrew, thanks for getting in touch. we don't support those, as we have our won alternative. i'll t\xe2\x80\xa6 https://t.co/wmfnfdaqzx"""
2676,"b'@paulr___ i appreciate your frustration with this, paul. which ever way you contact us at the moment there will lik\xe2\x80\xa6 https://t.co/evmregfveb'"
2677,"b'@bikerbabe108sc1 hi there, could you pop over to dm so i can help you further with this? we have a larger character\xe2\x80\xa6 https://t.co/kgdfs6wkqy'"
2678,b'@pritpalgill did you pay at least the minimum amount from your bill? kristos'
2679,"b'@degourlay i\xe2\x80\x99m afraid i\xe2\x80\x99m unable to facilitate a call back, what was it specifically you needed to speak with us about? kristos 2/2'"
2680,"b'@degourlay hi, peter. we\xe2\x80\x99re receiving an unprecedented high volume of calls at the moment due to the global pandemi\xe2\x80\xa6 https://t.co/ql1ov9ddtk'"
2681,"b""@beanzzzz hi ashleigh, i'm really sorry about the wait to speak with us. can you come through to dm and let me know\xe2\x80\xa6 https://t.co/wksejjzolo"""
2682,"b""@satyachaubey hey satya, thanks for your message :) what's the reason for needing to chat with the team? feel free\xe2\x80\xa6 https://t.co/jkdjho3arm"""
2683,"b""@anwibu hi andrew, i'm sorry to hear you're losing trust in us. have you managed to get logged in since? -kev"""
2684,"b""@pritpalgill hey there, i'm so sorry for the delay in replying and apologies you were cut off. i can imagine how st\xe2\x80\xa6 https://t.co/88mqdcemci"""
2685,"b'@michaelc_openun hi mike, did you manage to get this sorted? thanks nikki'"
2686,"b""@paulr___ hi paul, so sorry you've been waiting so long for a reply. due to the current situation we have less staf\xe2\x80\xa6 https://t.co/n6zyghcrkw"""
2687,"b""@asbosdad hi abby, pop over to dm and tell me what's happening when you've tried to make a payment? thanks nikki https://t.co/mpqb4etryv"""
2688,"b""@milliesavs hi amelia, calling us is the only way to get that unlocked i'm afraid and due to the current situation\xe2\x80\xa6 https://t.co/te2zdhfmuy"""
2689,"b""@feebefit hi there, so sorry about that. we're experiencing high call volumes with limited staff due to corona viru\xe2\x80\xa6 https://t.co/zcivsfj55p"""
2690,"b""@soneykuri hi soney, i'm very sorry about this, we've been super busy across all channels. can you pop over to dm a\xe2\x80\xa6 https://t.co/qvrx50sube"""
2691,"b'@tony_greenwood1 hey there tony, i am sorry about this, our teams have been super busy. can you drop us a dm and le\xe2\x80\xa6 https://t.co/gzq8wnpb8k'"
2692,"b""@brionyemma04 hi briony, sorry for the delay. we're doing our best to get through queries but as you can imagine we\xe2\x80\xa6 https://t.co/3npd6fdkn7"""
2693,"b""@ryanmcewan2 hi ryan, there's not stop on interest at the moment but if there are any changes to this we would upda\xe2\x80\xa6 https://t.co/uvwgmhfia0"""
2694,"b""@jaydcain hi james, if you'd like to come in to dm so we can look to address your concerns. thanks nikki"""
2695,b'@karen__berry no problem. give me a shout if you need anything else. cody'
2696,"b""@withthescho i'm really sorry you've been holding. as you can imagine the current situation has impacted our servic\xe2\x80\xa6 https://t.co/gnt8cetlah"""
2697,"b""@meyyaox hi there, if you'd like to explain in a dm in more detail? it sounds as though these are reissues of an expired card. thanks nikki"""
2698,"b""@musthavegood so sorry about the effect this is having on you. we are the uk team though if you've got any question\xe2\x80\xa6 https://t.co/r8qhuvsazb"""
2699,b'not sure what your login details are? you can easily reset them online. find out how to do that here:\xe2\x80\xa6 https://t.co/3nwsfzfzzp'
2700,"b""@karen__berry hey there karen, can you pop over to dm and let me know what you're calling for so we can look to help? brogan"""
2701,"b""@katiebeversmua hi katie, if you dm me your query i'll see if i can advise the quickest way to get the answers you need. thanks nikki"""
2702,"b""@mkwellingtonart hi katie, if you do need any advice you'd need to speak to the us team @askbarclaysus who are in t\xe2\x80\xa6 https://t.co/scrqghvknt"""
2703,"b'@marksharon_dp hi mark, just wanted to confirm interest on barclaycard accounts does change in line with base rates\xe2\x80\xa6 https://t.co/wiojuhhok1'"
2704,"b'fraudsters are exploiting opportunities caused by #coronavirus to scam people. we\xe2\x80\x99ll never email, text or call to a\xe2\x80\xa6 https://t.co/ifgezl3rq0'"
2705,"b'@sscanners you\xe2\x80\x99re very welcome, i hope you enjoy the rest of your day and thank you for your time. we\xe2\x80\x99re here 24/7\xe2\x80\xa6 https://t.co/07fvlz3nbo'"
2706,"b""@torodefutbol hi there, i'm so sorry you're in this situation. take a look at this link and give the number a call\xe2\x80\xa6 https://t.co/zyjkxbk3wo"""
2707,"b""@jonnypfmiller hi jon, that's not good to hear! feel free to pop over to dm and tell me more about what's happened,\xe2\x80\xa6 https://t.co/9tmwwiosnc"""
2708,"b""@sscanners hey steph, if you can call customer service once it's there they can return it to your bank for you. be\xe2\x80\xa6 https://t.co/zoipns8lx6"""
2709,"b""@zahiribrahim hi zahir, i'm so very sorry this happened. we'll continue this on dm to see how we can help. thanks nikki"""
2710,"b""@boondom hi dom, i've just replied to your dm. thanks nikki"""
2711,"b""@druid_cat hi cat, we're not able to assist here i'm afraid it would mean speaking to our team over the phone for a\xe2\x80\xa6 https://t.co/7akekxom9a"""
2712,"b'@xrpfc if you think you could be impacted by covid-19, call us on 0800 046 8324 to find out how we can help. lines\xe2\x80\xa6 https://t.co/y3cfljhtln'"
2713,"b'@xrpfc hi there, we have a few ways we are supporting customers: we won\xe2\x80\x99t be charging you late payment or cash adva\xe2\x80\xa6 https://t.co/6y0ssgcfow'"
2714,"b""@jbtevans hi joshua, you'd need to speak to the other credit card company so they can return that credit balance to\xe2\x80\xa6 https://t.co/0qahg0r99k"""
2715,"b""@actresstia lines are open every day from 9am to 9pm.  if you're having any problems generally with managing your m\xe2\x80\xa6 https://t.co/a8pcqhixjt"""
2716,"b'@actresstia hi talitha, we won\xe2\x80\x99t be charging you late payment or cash advance fees between 19 march and 17 june 202\xe2\x80\xa6 https://t.co/cfxi5jtang'"
2717,"b'@bodypierceryzzy hey there, if you pop over to dm we have a higher character count and give you all the information\xe2\x80\xa6 https://t.co/g7ntmzequk'"
2718,"b'@fipremierleague @govuk hi there, we do have a team set up to help our customers who are in need of financial assis\xe2\x80\xa6 https://t.co/nytdwuc4hs'"
2719,"b""@annacottonsmith hey anna, i've replied to your dm now. apologies for how long you've waited for a response. thanks nikki"""
2720,"b'@abimeats hey abi, can you pop over to dm and let me know if this is for a mortgage/credit card or loan/overdraft f\xe2\x80\xa6 https://t.co/nzckyncsep'"
2721,"b""@soph_laalaa hi sophie, sorry for the delayed reply. you can keep up to date with the actions that we're taking dur\xe2\x80\xa6 https://t.co/awwgezwokp"""
2722,"b'@lambbanana83 @travelodgeuk hi there, so sorry for the delay in replying. if you check this link for more help:\xe2\x80\xa6 https://t.co/o7gsfswe8y'"
2723,"b""@cardrome i'm very sorry danny, we cannot arrange a call back from this channel. can you pop over to dm and give us\xe2\x80\xa6 https://t.co/icbdgloowc"""
2724,"b""@sallydipdogpsy i'll reply to your dm now sally. thanks nikki"""
2725,"b""@neerioart hi neeraj, so sorry for the delay in replying. i've just replied to your dm. thanks nikki"""
2726,"b'@ashlieallen hi ashlie, can you dm me so we can find out more there. thanks nikki https://t.co/mpqb4etryv'"
2727,"b'@amberksteph hi amber, it is just fees that have been stopped currently. this will impact your 0% offer but should\xe2\x80\xa6 https://t.co/fgdfs25dqz'"
2728,"b'@heidibex82 hello becky, we won\xe2\x80\x99t be charging late payment or cash advance fees between 19 march and 17 june 2020 \xe2\x80\x93\xe2\x80\xa6 https://t.co/1uzqsembp5'"
2729,"b""@mjduggied hey there matt, i'm very sorry about this, can you pop over to dm where we can chat further and we can g\xe2\x80\xa6 https://t.co/mbft96n8ti"""
2730,"b""@chris79anderson what management do you need to do chris? feel free to dm if you'd prefer. paul https://t.co/mpqb4etryv"""
2731,"b""@greengeordie9 hi david, we're not currently able to offer payment breaks on our credit cards, however we're also c\xe2\x80\xa6 https://t.co/hpgmerrkj7"""
2732,"b""@chris79anderson we may need to reset the profile chris, but due to resourcing the team who can do this isn't avail\xe2\x80\xa6 https://t.co/99ewkmtajz"""
2733,"b""@cracesasha hi sasha, thanks for your patience waiting for us to get back to you! i'm not sure i quite understand;\xe2\x80\xa6 https://t.co/uzm7a0sxdl"""
2734,"b""@tris2506 hi tris, sorry for the delay in getting back to you, we've had a huge number of messages over the past fe\xe2\x80\xa6 https://t.co/dkncmfcq8q"""
2735,"b""@chris79anderson hi chris, sorry you're having some trouble! let's see what we can do to help - can you double chec\xe2\x80\xa6 https://t.co/rujpoiksbj"""
2736,"b""@nickychurchill hey nicky, really sorry for the delay in getting back to you, we've had a huge number of messages c\xe2\x80\xa6 https://t.co/rnsfzqja0m"""
2737,"b'@ytrnalpessimst hello joanna, thank you for reaching out and i want to help. if your account is fully closed then t\xe2\x80\xa6 https://t.co/0b51zxiaal'"
2738,"b""@cocksy81 hi mark, i'm sorry you had issues when calling. what were you calling about please? i'd like to help. jord"""
2739,"b""@cocksy81 i'm very sorry about this mark, we have been super busy, could you pop over to dm and let me know what yo\xe2\x80\xa6 https://t.co/d1ar8e3upa"""
2740,"b""@_farad4y hi james, this isn't anything to worry about but just means we don't hold all the information we need to\xe2\x80\xa6 https://t.co/mzugvddi3b"""
2741,b'@valentinaiannec the texts are automated so this is why you would get this as normal but the phone lines are really\xe2\x80\xa6 https://t.co/nxwdcd0b74'
2742,b'@valentinaiannec i can certainly understand your frustration with this valentina. we are getting a very high level\xe2\x80\xa6 https://t.co/ynsfvub4yc'
2743,"b'@lorettahollie91 hi, loretta. we\xe2\x80\x99re experiencing a high volume of calls at the moment and therefore wait times are\xe2\x80\xa6 https://t.co/hp44rteojr'"
2744,b'@battyg i can appreciate your frustration with this. as you can appreciate we\xe2\x80\x99re receiving a high volume at the mom\xe2\x80\xa6 https://t.co/jzjrbeoksn'
2745,"b'@kayjohne hi kay, i am sorry to hear that your barclaycard was stolen, have you managed to cancel the card? if not,\xe2\x80\xa6 https://t.co/gjzelz7rwl'"
2746,b'@jlc0732 we wouldn\xe2\x80\x99t be able to access your account and would never suggest you provide specific account informatio\xe2\x80\xa6 https://t.co/36g1xxxgvj'
2747,"b'@genandjuiceeee hi there, sorry to hear about the wait times. what did you need to ask and i\xe2\x80\x99ll do my best? kristos'"
2748,"b""@redcontrolled1 hi there. you can still apply for a card online. we'll send it in the post if you're successful :) andy."""
2749,"b'@jim_rl hi james, we\xe2\x80\x99ve put some thing in place for all customers, to help out. we won\xe2\x80\x99t charge late payment or cas\xe2\x80\xa6 https://t.co/99t1kuwqvo'"
2750,"b""@tasbir52239692 we're looking at other ways to help customers tasbir, please keep an eye on our page for further up\xe2\x80\xa6 https://t.co/pjircj22dy"""
2751,"b'@dankrieger hi daniel, we deal specifically with barclaycard in the uk, but our friends @askbarclaysus will be able\xe2\x80\xa6 https://t.co/ig2f6eailj'"
2752,"b""@josage14 hey jo, i'm so sorry for your long wait, we've been so busy. did you manage to make the payment in the end? cody"""
2753,"b""@flobaba1 so sorry that you feel that way flo. if you'd like to tell me more about what' shappened you're welcome t\xe2\x80\xa6 https://t.co/rkqe2spqh5"""
2754,"b""@jlc0732 hi jon, i'm really sorry. what were you needing to do in your online account. it may be best in the meanti\xe2\x80\xa6 https://t.co/v4uid1jghi"""
2755,"b""@daz_75 it may be a faulty chip daz. do you have the app? if you do just request a damage replacement. if you're no\xe2\x80\xa6 https://t.co/a1griqvr3t"""
2756,b'we know things are uncertain at the moment. we want to reassure you that you can still manage your barclaycard just\xe2\x80\xa6 https://t.co/z8kvtwvnkq'
2757,"b""@kaylougrant86 hi kay, there will be no late payment fees. i would advise to make minimum payment if you're able to\xe2\x80\xa6 https://t.co/mwom4nuny5"""
2758,"b""@battyg hi gavin, i'm so sorry. due to the current situation our call queues are longer than we'd like but our advi\xe2\x80\xa6 https://t.co/yxjagddmvp"""
2759,"b""@_halejames_ hi james, so sorry for the delay. we're here 24/7 just really really busy. i'll reply now. thanks nikki"""
2760,"b""@racork hey racork, thanks for waiting patiently, i'm so sorry for the time it's taken to get back to you. did you\xe2\x80\xa6 https://t.co/uxx6mixn8m"""
2761,"b""@robhair hi robert, so sorry to hear how you're impacted by this. can i ask is it a us barclaycard you have? if so\xe2\x80\xa6 https://t.co/lfzcqn61ev"""
2762,"b""@bennynova hi benedict, i'm sorry but we're the uk team. @askbarclaysus may be able to look into that for you. they\xe2\x80\xa6 https://t.co/xxtklbrkzg"""
2763,"b""@rg_gilfrin hi ryan, so sorry you're in this position. did you reply to the sms? thanks nikki"""
2764,b'@shortyspace sorry did i forget to send you a link. here just click here. :-) thanks nikki https://t.co/mpqb4etryv'
2765,"b'@marco_ferrero_ hey marco, so sorry for the delay replying. can you dm me so i can provide you some more info. than\xe2\x80\xa6 https://t.co/zqvvu27zhb'"
2766,"b""@rich25chelsea hi richard, so sorry you've been unable to get in to your online account. did you manage to get this sorted? thanks nikki"""
2767,"b""@dmcshoes hi stuart, i'm so very sorry. the premier team may have been unaware of how busy we are right now due to\xe2\x80\xa6 https://t.co/m70d3eop8i"""
2768,"b""@ek71848142 hi there, it's just the late fee being removed at the moment. should this change we'll update our page\xe2\x80\xa6 https://t.co/2qyidseq70"""
2769,"b'@lauren12___ hi lauren, check this page for more information on how we may be able to help: https://t.co/o2v1fofjwv thanks nikki'"
2770,b'@coombem1978 @barclaysib that is correct matty. trying to keep things straight forward and easy. :-) thanks nikki'
2771,b'@coombem1978 @al442454 it most certainly is matty. thanks nikki'
2772,"b'@traceywilks1 hi tracey, so sorry that this has happened. can you dm me so we can continue a conversation there. th\xe2\x80\xa6 https://t.co/8euw8bulfb'"
2773,b'@eleanorgraceful you would need to call and speak to the team to raise it in that case ellie. the number for disput\xe2\x80\xa6 https://t.co/cou7tzyau5'
2774,"b""@maria_tvlns hi maria, i'm so sorry that you've been unable to get through and the wait for me to reply. do you wan\xe2\x80\xa6 https://t.co/8tev4i7bkd"""
2775,b'rt @ukftweets: the spending limit on contactless payments is to be increased from \xc2\xa330 to \xc2\xa345 from 1 april 2020. find out more about it on o\xe2\x80\xa6'
2776,"b""@tanya_nyenwa hey tanya, i'll be replying to your message now. so sorry for the delay. thanks nikki"""
2777,"b""@hjd567 :-) wow helen. you deserve a medal, ceiling painting is not my forte. thanks for your patience. i hope it's\xe2\x80\xa6 https://t.co/zd5u5f3fxf"""
2778,"b""@andybutler1984 no it'd sit on your account waiting for you andy so don't worry. we won't give it back to them. :-)\xe2\x80\xa6 https://t.co/mndmtdawz6"""
2779,"b'@andybutler1984 hey andy. so sorry for the delay. once you can see the credit has hit your account, if you do still\xe2\x80\xa6 https://t.co/r2i1atttyg'"
2780,"b""@shortyspace hi thom, it's not something we can help with here i'm afraid. if you'd like to dm me more info about w\xe2\x80\xa6 https://t.co/awgjsrzsj7"""
2781,"b""@kee_mill hi kee, so sorry you're having problems getting through. come over to dm and i'll see if i can find you some help. thanks nikki"""
2782,"b""@tetlowinfo i'm so sorry andrea. you'd be best to call directly if the direct call option isn't working for you. th\xe2\x80\xa6 https://t.co/jpla9lybpl"""
2783,"b'@jennahacking_ hi jenna, thanks for your patience waiting for a reply. oh no, how did you apply for this? sarah'"
2784,"b""@iand567 so sorry iain. we've been rather busy. i'll reply now. thanks nikki"""
2785,b'@rachelloufield hi rachel. our advisors are working as hard as they can to answer your calls. so sorry for the dela\xe2\x80\xa6 https://t.co/4cgyh6gk3z'
2786,"b""@farrylbuchman hi there, sorry but we're the uk team. @askbarclaysus are available monday to friday 9am to 5pm est\xe2\x80\xa6 https://t.co/jzinkvenbr"""
2787,"b""@griffange022 yes ange, when you're in credit it shows as a minus. confusing i know but once things calm down our q\xe2\x80\xa6 https://t.co/qbyisqeibr"""
2788,"b""@tetlowinfo hi andrea, i'm so sorry you've not had a response. if you're not able to view your pin in the app or on\xe2\x80\xa6 https://t.co/tvb3jilegi"""
2789,"b""@themusicalmumma @carolinehirons i would recommend calling that number as they're a specialist team and can give yo\xe2\x80\xa6 https://t.co/irims0blz7"""
2790,"b""@diggywood you can log in online and query the transaction daniel. it may require a form if you do that and it'd be\xe2\x80\xa6 https://t.co/c5qhuqfkij"""
2791,"b""@showbizmarc i'm afraid not marc. if you do have online access you can send a secure message to the team to see how\xe2\x80\xa6 https://t.co/b5hhshvvnf"""
2792,b'rt @barclaysuk: are your children up for a challenge? our @digitaleagles code playground team have a coding project for them to solve. have\xe2\x80\xa6'
2793,"b'@westyinyork if you just make a minimum payment, any remaining balance would be subject to your standard interest rate alex. paul'"
2794,"b'@druid_cat hi cat, we are still open but we have quite a long wait time due to a lot of people needing our support\xe2\x80\xa6 https://t.co/yh3ld5jhag'"
2795,"b'@kerbyemily i am sorry to hear this, can you pop over to dm and let me know a little more about what they have advi\xe2\x80\xa6 https://t.co/4lhshsca9e'"
2796,b'@alexg017 everything is working as it should be regarding our website. you can actually check on the status here\xe2\x80\xa6 https://t.co/mrrrblagt5'
2797,"b'@g9_orm hi greg. the best thing to do, is take a look at our website which is crammed with info and options to star\xe2\x80\xa6 https://t.co/6o5z663hsx'"
2798,"b'@tasbir52239692 if you think you could be financially impacted by covid-19, call us on 0800 046 8324 to find out ho\xe2\x80\xa6 https://t.co/ib6hbikuas'"
2799,"b'@tasbir52239692 hello tasbir, we won\xe2\x80\x99t be charging you late payment or cash advance fees between 19 march and 17 ju\xe2\x80\xa6 https://t.co/q9ykvdbr5l'"
2800,"b""@ashleyg2790 so sorry you're struggling to get through ashley. if you dm me more info about what you were calling f\xe2\x80\xa6 https://t.co/ptbw8cvaqf"""
2801,b'@eleanorgraceful if you scroll to the bottom of the page you can print off a dispute form and post it to use if you\xe2\x80\xa6 https://t.co/xzcqz55vku'
2802,"b""@valentinaiannec hi valentina, i'm so sorry you've not been able to speak to someone so far. if you check this link\xe2\x80\xa6 https://t.co/c5axf28kc1"""
2803,"b""@benmac89 hey ben, i'll reply to your dm shortly. thanks nikki"""
2804,"b""@infelixuk hi there, so sorry to hear how this is affecting you. i'd recommend checking this page and reaching out\xe2\x80\xa6 https://t.co/cgkhxinvrt"""
2805,b'@pauladlive 2/2 i appreciate the wait times are longer than normal but we are working as hard as we can to provide\xe2\x80\xa6 https://t.co/64whf056yp'
2806,"b""@pauladlive hi there, if you've had a dd go out after making a payment this is likely due to the request already be\xe2\x80\xa6 https://t.co/wcquyemnyj"""
2807,"b""@hjd567 wouldn't that be lovely helen. if you'd like to dm me details of why you were calling to see if it's someth\xe2\x80\xa6 https://t.co/jugwaibzzm"""
2808,b'@izzaliz we have stopped those fees for 3 months isabel. thanks nikki'
2809,"b'@daesimps hi dae, if you can check this link and then let me know at which stage this fails for you in a dm.\xe2\x80\xa6 https://t.co/kjkoi19kly'"
2810,"b""@tetlowinfo hi andrea, if you've got access to the app or website you may be able to view your pin that way. thanks nikki"""
2811,"b'@showbizmarc hi marc, you can get in touch with us to get that sent back to your bank for you. keep an eye on your\xe2\x80\xa6 https://t.co/fyleab6pzi'"
2812,"b""@nicolasouth hi nicola, if you'd like to keep a check on the latest updates on this please check this link regularl\xe2\x80\xa6 https://t.co/reemp3pmoo"""
