,text_common
2729,bMjduggieD Hey Matt pop chat gxe2x80xa6 httpstcombfT96N8TI
2730,bchris79anderson What management Chris Feel free youd prefer Paul httpstcomPqb4etrYV
2731,bGreenGeordie9 David currently able offer payment breaks credit cards however also cxe2x80xa6 httpstcohPGMerrKj7
2732,bchris79anderson We may reset profile Chris due resourcing team isnt availxe2x80xa6 httpstco99EwkMtajz
2733,bCraceSasha Sasha thanks patience waiting get back sure quite understandxe2x80xa6 httpstcouZm7A0SxDl
2734,btris2506 Tris getting back weve huge number messages past fexe2x80xa6 httpstcoDkncmfcq8Q
2735,bchris79anderson Chris youre trouble Lets see help double checxe2x80xa6 httpstcoRujpOiksBj
2736,bnickychurchill Hey Nicky really getting back weve huge number messages cxe2x80xa6 httpstcoRNsFZQjA0m
2737,bytrnalpessimst Hello Joanna thank reaching want help account fully closed txe2x80xa6 httpstco0B51zxIAal
2738,bCocksy81 Mark issues calling What calling please Id like help Jord
2739,bCocksy81 Mark super busy could pop let know yoxe2x80xa6 httpstcoD1ar8e3uPa
2740,b_farad4y James isnt anything worry means dont hold information toxe2x80xa6 httpstcomzUGVDDi3b
2741,bvalentinaiannec The texts automated would get normal phone lines reallyxe2x80xa6 httpstconxwdcD0b74
2742,bvalentinaiannec certainly understand frustration Valentina We getting high levelxe2x80xa6 httpstcoyNSFVuB4yC
2743,bLorettahollie91 Loretta Wexe2x80x99re experiencing high volume calls moment therefore wait times arexe2x80xa6 httpstcohP44rtEoJR
2744,bBattyG appreciate frustration As appreciate wexe2x80x99re receiving high volume momxe2x80xa6 httpstcoJzjRbeOKsN
2745,bKAYJOHNE Kay hear Barclaycard stolen managed cancel card notxe2x80xa6 httpstcoGJzElZ7rWL
2746,bjlc0732 We wouldnxe2x80x99t able access account would never suggest provide specific account informatioxe2x80xa6 httpstco36G1xxxgvj
2747,bgenandjuiceeee hear wait times What ask Ixe2x80x99ll best Kristos
2748,bRedControlled1 You still apply card online Well send post youre successful Andy
2749,bJim_RL James wexe2x80x99ve put thing place customers help We wonxe2x80x99t charge late payment casxe2x80xa6 httpstco99t1kuwqvo
2750,bTasbir52239692 Were looking ways help customers Tasbir please keep eye page upxe2x80xa6 httpstcopJIrcJ22dy
2751,bdankrieger Daniel deal specifically Barclaycard UK friends AskBarclaysUS ablexe2x80xa6 httpstcoiG2f6eAilJ
2752,bJoSage14 Hey Jo long wait weve busy Did manage make payment end Cody
2753,bflobaba1 So feel way Flo youd like tell shappened youre welcome txe2x80xa6 httpstcorKQe2SpQH5
2754,bjlc0732 Jon really What needing online account It may best meantixe2x80xa6 httpstcoV4uId1jghi
2755,bdaz_75 It may faulty chip Daz Do app request damage replacement youre noxe2x80xa6 httpstcoA1GriQvr3t
2756,bWe know things uncertain moment We want reassure still manage Barclaycard justxe2x80xa6 httpstcoz8KVtWvNkq
2757,bkaylougrant86 Kay late payment fees would advise make minimum payment youre able toxe2x80xa6 httpstcoMWom4nuNy5
2758,bBattyG Gavin Due current situation call queues longer wed like advixe2x80xa6 httpstcoyXjAGdDmVP
2759,b_HaleJames_ James Were 247 really really busy Ill reply Nikki
2760,bracork Hey Racork thanks waiting patiently time taken get back Did youxe2x80xa6 httpstcoUxX6MIxN8m
2761,brobhair Robert hear youre impacted Can ask US Barclaycard soxe2x80xa6 httpstcolFzcQn61eV
2762,bBennyNova HI Benedict UK team AskBarclaysUS may able look Theyxe2x80xa6 httpstcoxxTKlbrkzg
2763,bRG_Gilfrin Ryan youre position Did reply SMS Nikki
2764,bShortyspace Sorry forget send link Here click Nikki httpstcomPqb4etrYV
2765,bmarco_ferrero_ Hey Marco replying Can provide info Thanxe2x80xa6 httpstcozqvVU27ZHB
2766,brich25chelsea Richard youve unable get online account Did manage get sorted Nikki
2767,bDMCshoes Stuart The Premier Team may unaware busy right due toxe2x80xa6 httpstcom70D3EOP8i
2768,bEK71848142 late fee removed moment Should change well update pagexe2x80xa6 httpstco2qyIdseQ70
2769,blauren12___ Lauren check page information may able help httpstcoO2v1FoFjWV Nikki
2770,bcoombem1978 BarclaysIB That correct Matty Trying keep things straight forward easy Nikki
2771,bcoombem1978 AL442454 It certainly Matty Nikki
2772,btraceywilks1 Tracey happened Can continue conversation Thxe2x80xa6 httpstco8EUW8bULfB
2773,beleanorgraceful You would call speak team raise case Ellie The number Disputxe2x80xa6 httpstcoCOU7TzYAU5
2774,bmaria_tvlns Maria youve unable get wait reply Do wanxe2x80xa6 httpstco8TeV4i7Bkd
2775,bRT UKFtweets The spending limit contactless payments increased xc2xa330 xc2xa345 1 April 2020 Find oxe2x80xa6
2776,btanya_nyenwa Hey Tanya Ill replying message So Nikki
2777,bHJD567 Wow Helen You deserve medal ceiling painting forte patience hope itsxe2x80xa6 httpstcoZD5U5F3FXF
2778,bandybutler1984 No itd sit account waiting Andy dont worry We wont give back xe2x80xa6 httpstcomNdmtdAWz6
2779,bandybutler1984 Hey Andy So Once see credit hit account stillxe2x80xa6 httpstcor2i1AtTtYG
2780,bShortyspace Thom something help afraid youd like info wxe2x80xa6 httpstcoawgjsrZsj7
2781,bKee_Mill Kee youre problems getting Come Ill see find help Nikki
2782,bTetlowInfo Andrea Youd best call directly Direct Call option isnt working Thxe2x80xa6 httpstcojpla9LYbpl
2783,bJennaHacking_ Jenna thanks patience waiting reply Oh apply Sarah
2784,biand567 So Iain Weve rather busy Ill reply Nikki
2785,bRachelLouField Rachel Our advisors working hard answer calls So delaxe2x80xa6 httpstco4CgYH6gK3Z
2786,bfarrylbuchman UK team AskBarclaysUS available Monday Friday 9am 5pm ESTxe2x80xa6 httpstcojZINKVENbR
2787,bgriffange022 Yes Ange youre credit shows minus Confusing know things calm qxe2x80xa6 httpstcoQbyisQEibR
2788,bTetlowInfo Andrea youve response youre able view PIN app onxe2x80xa6 httpstcoTVb3JiLEGi
2789,bTheMusicalMumma CarolineHirons would recommend calling number theyre specialist team give yoxe2x80xa6 httpstcoIriMS0BlZ7
2790,bdiggywood You log online query transaction Daniel It may require form itd bexe2x80xa6 httpstcoc5QhuQFKIJ
2791,bShowbizMarc afraid Marc online access send secure message team see howxe2x80xa6 httpstcoB5hHSHVVnf
2792,bRT BarclaysUK Are children challenge Our Digitaleagles Code Playground team coding project solve Havexe2x80xa6
2793,bWestyinYork make minimum payment remaining balance would subject standard interest rate Alex Paul
2794,bdruid_cat Cat still open quite long wait time due lot people needing supportxe2x80xa6 httpstcoYH3LD5JHAg
2795,bKerbyEmily hear pop let know little advixe2x80xa6 httpstco4lHSHSCA9e
2796,balexg017 Everything working regarding website You actually check status herexe2x80xa6 httpstcomRRrbLAgt5
2797,bG9_ORM Greg The best thing take look website crammed info options starxe2x80xa6 httpstco6o5z663HSX
2798,bTasbir52239692 think could financially impacted Covid19 call 0800 046 8324 find hoxe2x80xa6 httpstcoib6hbIkuaS
2799,bTasbir52239692 Hello Tasbir wonxe2x80x99t charging late payment cash advance fees 19 March 17 Juxe2x80xa6 httpstcoQ9yKVdBR5l
2800,bAshleyG2790 So youre struggling get Ashley info calling fxe2x80xa6 httpstcoPtbw8cVaqF
2801,beleanorgraceful scroll bottom page print dispute form post use youxe2x80xa6 httpstcoXzcQz55vKU
2802,bvalentinaiannec Valentina youve able speak someone far check linkxe2x80xa6 httpstcoC5axf28kc1
2803,bbenmac89 Hey Ben Ill reply shortly Nikki
2804,bInfelixuk hear affecting Id recommend checking page reaching outxe2x80xa6 httpstcoCgkHXinvrt
2805,bPaulaDLive 22 appreciate wait times longer normal working hard providexe2x80xa6 httpstco64WHF056yp
2806,bPaulaDLive youve DD go making payment likely due request already bexe2x80xa6 httpstcowCquyemnYj
2807,bHJD567 Wouldnt lovely Helen youd like details calling see somethxe2x80xa6 httpstcojUGwAibZZm
2808,bIzzaliz We stopped fees 3 months Isabel Nikki
2809,bdaesimps Dae check link let know stage fails DMxe2x80xa6 httpstcoKJKoI19kLy
2810,bTetlowInfo Andrea youve got access app website may able view PIN way Nikki
2811,bShowbizMarc Marc get touch get sent back bank Keep eye yourxe2x80xa6 httpstcofYLeAB6pZi
2812,bNicolasouth Nicola youd like keep check latest updates please check link regularlxe2x80xa6 httpstcoReemP3pMOo
2813,bTheMusicalMumma CarolineHirons Hayley havent help currently require Have youxe2x80xa6 httpstco9KmZB3C6Mn
2814,bclaredenn Clare due current situation receiving high volumes calls youd like tell mexe2x80xa6 httpstcoJiJEDWoToQ
2815,bshauntdavis Shaun cut Were receiving high volumes calls today come ovxe2x80xa6 httpstcoR0i3h3ovXm
2816,bFurbz_85 Adam pleased got sorted wouldnt mind sending Id love give Jess shoxe2x80xa6 httpstcoBGO5E7WYB3
2817,bWestyinYork Alex possible would recommend paying minimum payment going axe2x80xa6 httpstcoNFuSTtIIJ0
2818,biand567 Iain pop well continue chat thats okay Nikki httpstcomPqb4etrYV
2819,bblackrat999 Hey Richard Ill provide info Nikki
2820,bJamesSharp87 Hey James query Ill see help Nikki httpstcomPqb4etrYV
2821,bandywright75 VisaUK MastercardUK Andrew update changes relation Covid 19 followingxe2x80xa6 httpstcoK4qqobTGl3
2822,biotpe91 Barclaycard UK queries relation German account please get touch usinxe2x80xa6 httpstcoGnj6rKYebj
2823,bpmartpants It Paul concern Id recommend checking page calling team toxe2x80xa6 httpstcoKJp1lvRZnR
2824,bplackatini Steve pop let know needing Ill see anything Ixe2x80xa6 httpstcowQRoUtu3v3
2825,bglampincornwall query relation BcardBusiness team available Monday Friday 9xe2x80xa6 httpstcoaVOjKCqYW6
2826,balexg017 Alex afraid wed able help It may youre already registered Have yoxe2x80xa6 httpstcoM9W5OpWoAH
2827,bSHELMERS76 Due current situation team busier normal Paul So impacted Illxe2x80xa6 httpstconOgPGsyCHC
2828,beleanorgraceful Ellie youre able go httpstcoO2v1FoFjWV scroll txe2x80xa6 httpstco807zDct3Za
2829,bnehalivazirani youd like come information would greatThanks Nikki
2830,bmoonster8 Were best circumstances Keep safe Stephen Nikki
2831,bgriffange022 Ange refund appears able call youre full payer return thatxe2x80xa6 httpstcooVvk0vSwPE
2832,bNicolasouth The fees waived miss payment shown recommend wexe2x80xa6 httpstco0bfwWchI2o
2833,bHammersleyLewis So query relation Barclaycard account feel free toxe2x80xa6 httpstcovorMHwrbVV
2834,bLoynn With disputes credit card limited advise regulated canxe2x80xa6 httpstcoqRzdQjmlrx
2835,bSamuel_Mack10 see thanks letting know trip cancelled airlinecompany look toxe2x80xa6 httpstcoAyg76FBBpA
2836,bdiodonohue Diane moment still looking support customers time Wexe2x80xa6 httpstcopQmiUISHtw
2837,bLoynn Alternatively fill form httpstcopUfQnUDMKB send post Ramona 22
2838,bLoynn cant connect team raise dispute going online atxe2x80xa6 httpstcoeZLKbN6HgR
2839,bDominics_wife We would speak securely unblock card Did manage get connected team Ramona 22
2840,bDominics_wife Hello Jo reply want help Our lines extremely busy mxe2x80xa6 httpstcoKq2HpDuyNn
2841,bbrownbynature_ think could financially impacted Covid19 call 0800 046 8324 find hoxe2x80xa6 httpstcoDsKyInPMJZ
2842,bbrownbynature_ Hello wonxe2x80x99t charging late payment cash advance fees 19 March 17 Junxe2x80xa6 httpstcohQzFNDrVCz
2843,bmoonster8 Stephen pleased hear hope family ok nnIf anything knxe2x80xa6 httpstcofoAttNtDHz
2844,bgodfrey_j Okay fine dispute know team really busy due ongoing situation thexe2x80xa6 httpstcosfMokjHGeh
2845,bNicolasouth think could financially impacted Covid19 call 0800 046 8324 find wxe2x80xa6 httpstco0adlAhBjeQ
2846,bNicolasouth Hello Nicola wonxe2x80x99t charging late payment cash advance fees 19 March 17 Junexe2x80xa6 httpstcovcc4b6txbv
2847,bnataliephysiouk Can let know help personally please Ill point rigxe2x80xa6 httpstcof9I08ZY1Vx
2848,bLoynn You try raise dispute flight depend conditions bookingxe2x80xa6 httpstcoyRk7au60Kp
2849,bLoynn Hello Tom wait flight cancelled company moment still operating 12
2850,bJackiOssassin Good morning getting back Can please let know queryxe2x80xa6 httpstcoVpsw8ESWCq
2851,bbgibson85 The team experiencing higher level calls due pandemic situation moment canxe2x80xa6 httpstcoRxraO0Degi
2852,bbgibson85 Hello Ben see youre issues connecting We unsecure channel wexe2x80xa6 httpstcoK034S92apX
2853,bSamuel_Mack10 Have confirmation airlinetravel agent trip cancelled justxe2x80xa6 httpstcomjmOuqYNni
2854,bmrk_1981 M understand lot people using card get tricky period wxe2x80xa6 httpstcozmYLjgOlOL
2855,bMaureenRochdale Wexe2x80x99re serve customers challenging timesnnWexe2x80x99re following govxe2x80xa6 httpstcokmBlV3jV5s
2856,bMaureenRochdale Maureen understand concerns safety colleagues please let try toxe2x80xa6 httpstcovejw01SRDd
2857,bKerbyEmily Emily received confirmation airline travel agent holiday cancexe2x80xa6 httpstcoMQfWIQUsDU
2858,bgiven2fly Jeff reached Barclaycard UK query location appear related Barclaxe2x80xa6 httpstcotJN9Ba20Pr
2859,bNBrewerton Norman wonxe2x80x99t charging late payment cash advance fees 3 months wexe2x80x99ll take care ofxe2x80xa6 httpstcokTQOUGhWXl
2860,bFor support managing card ways carry banking time please visitxe2x80xa6 httpstcoKv4yuOv7oR
2861,bpidpoid want drop explain helping moment Andy httpstcomPqb4etrYV
2862,bnataliephysiouk Please look Barclaycard updates httpstcoiWvLWd93AS money worry updatesxe2x80xa6 httpstcolFUnbu27dq
2863,bnataliephysiouk Natalie certainly understand concerns assure constantly assessinxe2x80xa6 httpstcofEoRxji8SP
2864,bHammersleyLewis Apologies anything could certainly would Dean
2865,btaramistry Tara transaction showing end could issue txe2x80xa6 httpstcoZsGlyKIwJc
2866,bWhyjay99 Yvonne apologies extremely busy moment He raise online able loginxe2x80xa6 httpstcoM3acQZYuPQ
2867,bSamuel_Mack10 Cover Samuel Is transaction wish dispute Dean
2868,bLaoluOfficial youd expect extremely busy moment trying ouxe2x80xa6 httpstcoghhhNfrsmO
2869,bLj55358440 Please accept apologies Lj certainly would expect Did raise supervisor Dean
2870,bWeightLoss_HC Hey running Did managed complete payment Dean
2871,bstuartjsmith Hello Stuart disputes raised worked order bit backlog itxe2x80xa6 httpstcoJskfc6ZdQC
2872,bEmilMcm BorisJohnson Emil understand concerned safety want assure isxe2x80xa6 httpstcozkFrkD20vL
2873,bjoesteph Hello see still hold havent managed speak someone We doxe2x80xa6 httpstcouytKjlfY1M
2874,bLim03B bookingcom Hey thank reaching sure set dispute thisxe2x80xa6 httpstco1xoxZj4tRD
2875,balisonthursby Alison wexe2x80x99ve put things place customers help Heres information onxe2x80xa6 httpstcoBukAZoRsJB
2876,bKevinSt41766814 Its difficult time moment Kevin totally understand concerns The best thingxe2x80xa6 httpstcoowvkF6HTrz
2877,bHammersleyLewis shouldnt happened youre phone team theyll bexe2x80xa6 httpstcob1tJmFBpzE
2878,bSamuel_Mack10 Samuel cut What looking speak Ill see help Jord
2879,bmarkdpryan Due current events working fast want help Pleaxe2x80xa6 httpstcolHSRTIvhtB
2880,birvind Irvin Were working getting things place wed advise keep eye webxe2x80xa6 httpstcoCa9l0cAULn
2881,bAlbut_Dun Apple Pay really easy use works Apple devices use every day super handy Yoxe2x80xa6 httpstco12WwknalQj
2882,bAlbut_Dun Albut looking speak fingers crossed make change Its worth knxe2x80xa6 httpstcoPR8TwOw9qU
2883,bNLopezdeArenosa Natasha deal specifically Barclaycard UK Ive tagged Barclays USxe2x80xa6 httpstcoH5enRCK3J8
2884,bmarkdpryan raise dispute transaction online banking When log ixe2x80xa6 httpstcoe1A0pPcM5p
2885,bSpiffyPenguin24 Ah ok deal specifically Barclaycard UK friends AskBarclaysUS ablxe2x80xa6 httpstcoMTXoZDWd9t
2886,bcarlasparkle Carla really hear happened youre sorted yet We beexe2x80xa6 httpstcoUnlkv1VwAY
2887,bBuddJackie Jackie confusion Cash Advances withdraw cash credit cardxe2x80xa6 httpstcooDxW3WCorU
2888,bMichaelGainey1 trip cancelled booking agent contact refund As thexe2x80xa6 httpstcovBPjTJlJCb
2889,bartkphotography Athur deal specifically Barclaycard UK Heres link Barclaycard Germanysxe2x80xa6 httpstcoNQlgx2anzm
2890,bb33sweat hear check relation Barclaycard based UK US Kev
2891,bSpiffyPenguin24 Chip really really busy moment Can check relation axe2x80xa6 httpstcoH8ELz7ZH8f
2892,bjackschaedel Jack feedback really appreciate Were committed helping cusxe2x80xa6 httpstco1bQWXMuzeZ
2893,bpidpoid Hey Stuart 247 help give shout Rach
2894,bdiodonohue Diane cause confusion Things changing daily working hard toxe2x80xa6 httpstcountrBKH1IZ
2895,bl_snowball Lucy youre problems getting Can yell little disputexe2x80xa6 httpstcoRopv459ihr
2896,b_jacquelinehugh Just bear little longer Jacqueline working something rolling soon Leigh
2897,bSpiffyPenguin24 Chip How help Jord
2898,bmarkdpryan Have since able chat someone Mark Cody
2899,bmikebryantky Massive apologies long wait Ah thats good So clear axe2x80xa6 httpstcomTtWa0IhgU
2900,bmarkdpryan Hey Mark assure isnt case youve waited longer expectexe2x80xa6 httpstcoQ3cSU7TZhp
2901,bKockyKabby Please see following links support Barclaycard httpstcoiWvLWd93AS Overdraft changes hexe2x80xa6 httpstcodLzbk8iZ98
2902,bKockyKabby On 19th March Barclaycard announced wont charging cash advances noxe2x80xa6 httpstcoeNkq7xeTM3
2903,bKockyKabby Kabby thank patience today apologise response exceptionxe2x80xa6 httpstcodY2J5SJnLq
2904,bAitkenallover Hey Marie thanks message apologies long wait weve busy Have bexe2x80xa6 httpstcoTmPQjk1e7l
2905,bMrJakeAndrew Oh yes quite emails isnt xf0x9fx91x80 heads Jake Stay safe let knxe2x80xa6 httpstco22g6RNq8vS
2906,bb33sweat Hey Seb thanks message long wait appreciate busy thexe2x80xa6 httpstcoOYlFF1mzvb
2907,bjords261 Hey Jordan long wait appreciate ideal super busy momexe2x80xa6 httpstcoaDImNHRd0W
2908,bWexe2x80x99ll working systems weekend services wonxe2x80x99t available For full details updaxe2x80xa6 httpstcoJy56jX3880
2909,bdemimcgovern Really Demi really busy moment wit h current situation werxe2x80xa6 httpstcoyoKLNnL3NF
2910,bcarrythegary pop Ill let know get done Gary Cass
2911,bcarlasparkle really Carla sure youre sorted might worth calling backxe2x80xa6 httpstcow8jhkt6cw6
2912,bkath_peasley Ill honest Kath unprecedented situation genuinely dont know would work Thexe2x80xa6 httpstcozgOuhDyCKD
2913,btuco2k Great news Jay letting know youve managed reset Cass
2914,bMarcADavies In case best thing would speak customer service team 0800 151 0900 Marc Cass
2915,blukebeauchamp Luke Sorry getting back Really appreciate feedback thanks forxe2x80xa6 httpstco0QfECpOYF7
2916,bdiodonohue think could financially impacted Covid19 call 0800 046 8324 find wexe2x80xa6 httpstcouqjhG8okvZ
2917,btuco2k Does work Justin httpstcoCRdxBOqogq Cass
2918,b_jacquelinehugh Jacqueline Weve put together lots info httpstcoqMcBWdmYwW xf0x9fx91x8d It typicalxe2x80xa6 httpstcot0p6QO7IVO
2919,bjohnmc2323 Ah thats good know John Sorry glad youre sorted Cass
2920,bThanks bearing xe2x80x93 youxe2x80x99ll find quick easy ways manage Barclaycard atxe2x80xa6 httpstcopziOkXdNch
2921,biramahmed79 The best thing would give Customer Services call 0800 151 0900 one teaxe2x80xa6 httpstcomUBoq5ufmv
2922,bMJes54 Sorry Michael Ive made sure fed back Can delete tweet asxe2x80xa6 httpstcoQxLxFqk4UW
2923,bvagmole santanderukhelp John think could financially impacted Covid19 youd give uxe2x80xa6 httpstcocN0tw12nHG
2924,bjohnmc2323 John extremely busy moment Why calling help Dean
2925,bF1Smasher Hey know known error worked You via website still youre able login Dean
2926,bjamiee2811 British_Airways Jamie would advise speak BA theyll able give optxe2x80xa6 httpstcoRIJ5BclwHK
2927,bSpireiteBear Hey Lee call spend amount card Dean
2928,bIanRoulstone It looked team extremely busy moment Hopefully theyll touch shortly Dean
2929,bSnudgeBucket responded Beverley Dean
2930,bgodfrey_j Hey Julia extremely busy cant provide exact timescale moment unfortunatexe2x80xa6 httpstcoupbJnyx6ct
2931,bIanRoulstone Do access website You look raise dispute Dean
2932,bteaandagoodbook Apologies Emily call team check Their number 0800 16xe2x80xa6 httpstcocZzcOxnr5T
2933,bRT BarclaysUK Alongside HSBC_UK LloydsBank Nationwide HalifaxBank santanderuk firstdirect TescoBankNews AIBIreland MandSBank Naxe2x80xa6
2934,bNewYorkBretts deal specifically Barclaycard UK friends AskBarclaysUS abxe2x80xa6 httpstco9A2BznbuuN
2935,bmattsyl Matt deal specifically Barclaycard UK friends AskBarclaysUS able hxe2x80xa6 httpstcoP4lnasN2Oy
2936,bthevitalspark01 Gill really wait speak We busy working gexe2x80xa6 httpstcoz8EX6iVHJn
2937,bpayo_madrid Juan deal specifically Barclaycard UK friends AskBarclaysUS ablexe2x80xa6 httpstcowThpM0YCh5
2938,bMarcADavies To cancel direct debit call contact bank direct debit leaves caxe2x80xa6 httpstco9fPwNBFDzO
2939,bIanRoulstone Ian really wait experiencing high number calls imagxe2x80xa6 httpstcoloZqzRcKnw
2940,bRobBarnes09 Rob help 247 So anytime give shout Jord
2941,bmikebryantky H Mike wait Did manage get sorted Andy
2942,bszabogkris Wow Kris Thats little excessive Does happen messages send Andy
2943,bTheCombatGolfer response Weve responded Kev
2944,brjbristow Robert heres link info use base rate new cut helxe2x80xa6 httpstcoK19hrmsVgK
2945,bLouieLeeds Youre welcome keep posted happens Let know questions 247 Kev
2946,bSarahValentine7 Sarah To avoid affecting credit score offers would make minimum payment month Andy
2947,b786_khan_123 accept symbols indicated text red try use something oxe2x80xa6 httpstcoaqCja7QZAv
2948,bsmad2019 Stephen deal specifically Barclaycard UK friends AskBarclaysUS ablexe2x80xa6 httpstcoeog6nsi1uf
2949,bkatweller thanks getting touch This give flexibility still recommend making regular paxe2x80xa6 httpstcoT2fIA4kqyY
2950,bMrKarlHolt We wouldnt able send statement via email Its secure enough see It would cxe2x80xa6 httpstcoO8Oup2mLsw
2951,bNoelPCurry Ill pass feedback Noel You keep date date news doxe2x80xa6 httpstcoaXJRyn3f9q
2952,bPmartin06 Pete Base Rate changes standard cash interest rates move line Bxe2x80xa6 httpstcogeMIAfaiTo
2953,bSimonHogfress Can get tablet either Have spoken app team 0333 202 1035 Nikki
2954,baKahnR Ali youre position help advice time find mxe2x80xa6 httpstcoMXKAmFJNFJ
2955,bSporterKelly support help get touch 0800 046 8324 toxe2x80xa6 httpstcoIgPu9UNguR
2956,byvettehop Hey Yvette hear youre situation Id recommend getting touch teamxe2x80xa6 httpstcoNeJRrC7ioy
2957,bclaytonfamily01 go app online account youll see Balance Transfer oxe2x80xa6 httpstcoGJV2anAOYI
2958,bBuddJackie Jackie sure mean Do mean Money Transfer This different cash transactxe2x80xa6 httpstcowiwXRkxDIl
2959,bcoombem1978 AL442454 Matty take look link httpstcoQJIlSCYHWJ raise dispute txe2x80xa6 httpstcoDKuyDPK4iu
2960,bLouieLeeds Louie really youve service Its certainly wed expect hear Ixe2x80xa6 httpstcopeip3pyJzz
2961,bMrKarlHolt Karl log online able turn marketing switch paperless youre finxe2x80xa6 httpstcoHAMuV5AhGU
2962,bSimonHogfress Its likely due regularly accessing app phone capability usingxe2x80xa6 httpstco0ZvSEJol4t
2963,brichbishop fsb_policy Rich still waiting information You keep date furxe2x80xa6 httpstcoogbOeHoueL
2964,bermMAYBE keep date updates link httpstcoeiWI6vwwwE Nikki
2965,bwizofe Hey Ioannis also check link advice becomes available httpstcoeiWI6vwwwE Nikki
2966,bdefaultica tescobankhelp HalifaxBank Steve youve communication far You find thxe2x80xa6 httpstcoOoNJrn1Crz
2967,bpipusmar Clare banks close short period time waivering late payments nexe2x80xa6 httpstcobO721nO6J6
2968,bUsrBinPRL youre unhappy resolution youre mother would like reopen complaintxe2x80xa6 httpstcotKokW4N0Zr
2969,bUsrBinPRL wanted check make sure complaints team touch Paul
2970,bLeoLem54321 Leo credit limit reduced This change likely already happening prxe2x80xa6 httpstcoRZhHH4h5Kt
2971,bbrownsafire Lovely feedback Shemel postcode Id love locate advisor pass fexe2x80xa6 httpstco4YJxspRe31
2972,bjsonUK Jason wont right Have recently changed billing date bexe2x80xa6 httpstcoa4vwwAxlxz
2973,bRMiah10 information calling see help Nxe2x80xa6 httpstcoERBP6X0l9W
2974,bMaureen75836561 Maureen It take emails stop likely werexe2x80xa6 httpstco6OTcH9xXIr
2975,bKrisHailes letting know Kristofer Sorry cause frustration certainly intentions Nikki
2976,belchevive69 SOimLikeWord thehl5 neomort GolferGirl305 EdLatimore Chase discovercard txe2x80xa6 httpstcoGALQmCkm7V
2977,bSimonHogfress 22 Have team ordered new card PIN Sentry Nikki
2978,bSimonHogfress Simon happened Have used app quite long time The changes havexe2x80xa6 httpstcoaPkMVZrD3d
2979,bmateengha MartinSLewis YoMatz keep date information becomes available thixe2x80xa6 httpstcojdSyRjpqaA
2980,bAaronGerman13 We havent information moment Aaron We update customers inxe2x80xa6 httpstcoQpiXeptpzR
2981,bpipusmar It would inside branch Barclays Clare Nikki
2982,bkieranlunn91 Kieran You print dispute form way go linkxe2x80xa6 httpstcoB8Y0DQGB7a
2983,bProfMillennial1 confirming We would initially advise contact airline Should thxe2x80xa6 httpstconbSmpLLr4V
2984,bbentate100 sure honest Ben know longer usual current situation Thaxe2x80xa6 httpstcokQPLgnSTwG
2985,bMJes54 Michael much Id really love share awesome team member helpedxe2x80xa6 httpstcoEjd1EypTvd
2986,bcharlotteukcity think could financially impacted Covid19 call 0800 046 8324 find hxe2x80xa6 httpstcoIQ81MaCQlF
2987,bjorm Hey Brandon US queries AskBarclaysUS help Nikki
2988,bKrisHailes Hiya Kristofer see youd frustrated apologise didnt want txe2x80xa6 httpstcoex4CxBAKKu
2989,b786_khan_123 thanks getting touch Youll able use card normal carry thisxe2x80xa6 httpstcoc08HSkNT53
2990,bmax_aberle Maximilian deal specifically Barclaycard UK friends AskBarclaysUS bexe2x80xa6 httpstcomYTgy152Mf
2991,bpipusmar Clare thanks getting touch Heres link ways pay billxe2x80xa6 httpstco9eNPz4656u
2992,bisitgeorge George thanks getting touch Wed speak securely check options forxe2x80xa6 httpstco7tZ8YCh5Mc
2993,bmdf6701 Michael thanks getting touch The balance transfer offer applies specifically balance trxe2x80xa6 httpstcodzzmNWZn25
2994,bmaruzen52 glad hear youve logged hear havent heard back When log Dxe2x80xa6 httpstcoA3HdDSHm84
2995,b1GuyFromHalton Michael hear still havent got see said 710 working days frxe2x80xa6 httpstco2z8QponqFN
2996,brun20204 cards track base rate passed customers You read morexe2x80xa6 httpstcoxxWUCd3y6P
2997,bonetokebloke putting measures place help We wonxe2x80x99t charge late payment cash advance feesxe2x80xa6 httpstcounWThwKqVt
2998,bmuddyvee really disconnected waiting long Did manage get baxe2x80xa6 httpstcotaUzGGuGny
2999,bxlaraxrayx Oh see please keep posted Lara Apologies working Kev
3000,bxlaraxrayx Lara hear youre issues applying online There mass issues procxe2x80xa6 httpstcogRz5yo42Jg
3001,bRath0X Hey Rath understand stressful time many people This wonxe2x80x99t charge late pxe2x80xa6 httpstcoouChXbLZC5
3002,bTashaNThompson Oh see friends AskBarclaysUS able help Theyre available Monday toxe2x80xa6 httpstcoCcucGZTrKm
3003,bwaukecha Our friends AskBarclaysUS help Theyre available Monday Friday 9am5pm EST Nicola
3004,bAlisonLeanneC Alison hear Were committed helping customers time andxe2x80xa6 httpstcokAWaEWRetU
3005,bRethinking_Kate Ah Kate sure thats connecting try 448001510900 24xe2x80xa6 httpstcoStiBqx8JMa
3006,bProfMillennial1 Hey thanks reaching wanted double check right inxe2x80xa6 httpstcoeB05O249At
3007,bRafaGonzalezdp Hey Rafael stands moment wonxe2x80x99t charge late payment cash advance fees nxe2x80xa6 httpstcoaidL3SAcMT
3008,biand567 Iain Id recommend giving Internet Help Desk call look Theyre availablexe2x80xa6 httpstcoHXVwn2zago
3009,bQPRNORM Youre welcome Norm Nikki
